iter	MultiClass
0	2.559456764
1	2.554715523
2	2.550475234
3	2.546714779
4	2.543507273
5	2.540509434
6	2.537753441
7	2.534304124
8	2.531941971
9	2.529822881
10	2.527861726
11	2.526043176
12	2.523261045
13	2.520490292
14	2.517998476
15	2.515507237
16	2.514068111
17	2.510933982
18	2.508841639
19	2.505939356
20	2.504760824
21	2.502034052
22	2.500899668
23	2.498351414
24	2.497368889
25	2.495682154
26	2.493874602
27	2.490949027
28	2.490059482
29	2.489215833
30	2.488256009
31	2.486197121
32	2.484945246
33	2.484100883
34	2.482126558
35	2.480289772
36	2.479564853
37	2.477289906
38	2.476501685
39	2.47471422
40	2.473975581
41	2.472629761
42	2.47204019
43	2.470575569
44	2.469150284
45	2.468193447
46	2.467314368
47	2.465655474
48	2.465077598
49	2.464523632
50	2.463319055
51	2.462790487
52	2.462300185
53	2.461585607
54	2.461116963
55	2.460058842
56	2.459046159
57	2.457956887
58	2.457519721
59	2.456533623
60	2.455016042
61	2.454393813
62	2.453522661
63	2.453145012
64	2.452235629
65	2.45163647
66	2.45125761
67	2.450884853
68	2.450326369
69	2.44893859
70	2.447745099
71	2.447405333
72	2.446652645
73	2.446087206
74	2.44574397
75	2.445386958
76	2.444867035
77	2.444396833
78	2.444068104
79	2.443379208
80	2.443045115
81	2.442378179
82	2.442100055
83	2.440952722
84	2.440440075
85	2.440013218
86	2.439461804
87	2.439178852
88	2.438908241
89	2.437884926
90	2.437177944
91	2.436476813
92	2.436236983
93	2.435985673
94	2.435415772
95	2.4349787
96	2.434745971
97	2.434341362
98	2.434112267
99	2.433750221
100	2.43295048
101	2.432349416
102	2.431922888
103	2.431319449
104	2.430722988
105	2.430241049
106	2.429906499
107	2.429535859
108	2.429164138
109	2.428915726
110	2.428323265
111	2.428112818
112	2.427834729
113	2.427138981
114	2.426932476
