iter	Passed	Remaining
0	104	95356
1	208	95083
2	312	94642
3	416	94583
4	519	94147
5	622	94030
6	726	93925
7	830	93873
8	935	93833
9	1039	93762
10	1143	93660
11	1252	93925
12	1389	96068
13	1493	95826
14	1596	95467
15	1702	95323
16	1805	95054
17	1910	94863
18	2013	94638
19	2119	94529
20	2225	94420
21	2331	94303
22	2438	94267
23	2548	94292
24	2660	94387
25	2765	94251
26	2869	94043
27	2975	93933
28	3079	93770
29	3186	93679
30	3292	93580
31	3398	93447
32	3501	93265
33	3603	93046
34	3710	92983
35	3817	92885
36	3922	92761
37	4028	92660
38	4135	92574
39	4242	92493
40	4349	92391
41	4454	92270
42	4560	92164
43	4665	92044
44	4772	91946
45	4878	91834
46	4984	91729
47	5089	91608
48	5195	91507
49	5301	91403
50	5407	91288
51	5514	91195
52	5620	91089
53	5724	90958
54	5831	90865
55	5936	90748
56	6041	90619
57	6147	90517
58	6255	90432
59	6358	90290
60	6464	90178
61	6571	90094
62	6678	89997
63	6783	89884
64	6889	89774
65	6994	89661
66	7097	89515
67	7204	89422
68	7310	89316
69	7416	89209
70	7525	89142
71	7634	89064
72	7740	88960
73	7846	88861
74	7953	88760
75	8060	88667
76	8166	88555
77	8270	88427
78	8378	88341
79	8483	88230
80	8592	88149
81	8697	88039
82	8802	87921
83	8910	87834
84	9016	87724
85	9125	87643
86	9234	87568
87	9339	87454
88	9448	87375
89	9557	87287
90	9663	87184
91	9771	87095
92	9879	87007
93	10006	87076
94	10120	87036
95	10229	86950
96	10339	86872
97	10449	86796
98	10560	86726
99	10670	86642
100	10779	86552
101	10887	86457
102	10997	86375
103	11105	86277
104	11214	86193
105	11323	86097
106	11430	85997
107	11540	85914
108	11654	85860
109	11771	85824
110	11890	85806
111	12002	85734
112	12110	85628
113	12219	85539
114	12327	85431
115	12436	85341
116	12545	85243
117	12655	85156
118	12764	85057
119	12873	84962
120	12982	84867
121	13090	84767
122	13201	84682
123	13312	84601
124	13423	84513
125	13536	84441
126	13646	84351
127	13756	84256
128	13866	84169
129	13978	84087
130	14088	83990
131	14198	83901
132	14313	83834
133	14430	83784
134	14542	83699
135	14657	83634
136	14771	83560
137	14882	83468
138	14993	83382
139	15104	83289
140	15220	83225
141	15333	83148
142	15446	83066
143	15556	82970
144	15666	82870
145	15776	82774
146	15884	82665
147	15994	82567
148	16105	82471
149	16213	82366
150	16322	82260
151	16430	82154
152	16540	82053
153	16649	81949
