oktmo;date;pasta;legumes;bread;flour;rice;groats;potatoes;сucumbers_tomatoes;vegetables;roots;сabbage;fruit;sugar;candy;biscuits;mutton;beef;chicken;pork;fish;herring;curd;sour_creame;butter;milk_kefir;cheese;egg;margarine;oil;salt;spice;tea;cpi_1;cpi_2;cpi_3;pasta_value;legumes_value;bread_value;flour_value;rice_value;groats_value;potatoes_value;сucumbers_tomatoes_value;vegetables_value;roots_value;сabbage_value;fruit_value;sugar_value;candy_value;biscuits_value;mutton_value;beef_value;chicken_value;pork_value;fish_value;herring_value;curd_value;sour_creame_value;butter_value;milk_kefir_value;cheese_value;egg_value;margarine_value;oil_value;salt_value;spice_value;tea_value;ai92;ai95;ai98;dt;ai92_value;ai95_value;ai98_value;dt_value
99000000000;01.01.2019;54,86;100,18;69,28;0;0;27,94;23,55;170,93;28,7;52,18;0;117;50,18;647,86;229,44;0;0;190,63;0;0;288,35;368,2;233,53;579,42;64,67;438,04;5,13;0;85,18;0;26,46;59,01;5 604,67;4 792,53;5 817,48;695,86;87,93;1 369,89;0;0;448,13;383,46;216,23;176,67;310,25;0;857,1;387,64;242,78;200,53;0;0;504,47;0;0;44,39;59,36;45,19;48,27;1 800,12;107;6 583,00;0;169,72;0;647;544;41,84;43,72;44,2;0;22 559,14;12 821,38;902,44;0
99000000000;02.01.2019;65,45;103,95;72,14;30,25;53,62;31,96;25,35;161,89;27,66;49,35;31,74;107,1;49,94;446,33;220,66;0;0;179,23;339,05;0;183,87;380;226,74;575,38;65,3;446,95;5,74;0;82,97;16,93;30,21;59,58;5 568,00;4 760,19;5 689,77;1 827,30;269,8;4 234,65;944,32;502,02;1 368,86;920,6;866,25;682,76;821,35;490,34;2 547,30;1 980,88;487,22;641,01;0;0;1 535,36;229,56;0;162,17;244,72;210,28;190,86;4 881,35;474,68;20 875,00;0;693,43;213,6;2 210,58;1 617,00;41,97;43,77;44,2;53,25;34 219,31;22 421,01;1 037,14;306,24
99000000000;03.01.2019;57,11;98,28;72,61;29,44;45,17;33,54;24,29;159,71;27,16;52,63;29,44;103,1;49,66;329,72;202,63;0;0;179,69;327,48;0;220,93;370,74;224,74;578,95;64,92;427,56;5,79;130,63;80,98;16,8;30,27;73,42;5 498,68;4 701,06;5 595,45;2 513,26;307,45;5 619,15;1 232,83;722,12;1 825,26;1 174,89;1 113,77;1 122,21;976,49;704,67;3 558,90;2 393,13;642,81;861,07;0;0;2 032,01;279,38;0;161,57;297,35;268,09;233,05;6 549,95;604,04;26 525,00;34,76;1 124,37;342,01;2 590,43;2 161,30;42,11;43,87;44,52;53,49;40 634,24;25 086,21;1 211,33;4 894,56
99000000000;04.01.2019;59,07;98,09;72,57;30,62;57,6;30,12;25,26;156,75;27,1;52,98;29,22;106,5;49,32;324,72;207,51;0;0;181,7;301,23;0;211,33;364,41;215,08;575,64;65,25;425,91;5,84;136,11;80,89;17,06;31,16;62,5;5 507,70;4 705,73;5 630,42;2 556,23;413,08;6 464,51;1 752,20;773,83;2 063,89;1 564,96;1 287,92;1 217,77;1 086,23;661,69;3 545,40;3 086,46;760,09;914,47;0;0;2 193,26;554,23;0;229,3;345,57;350,94;284,03;7 022,71;742,24;30 838,00;39,21;1 386,89;352,4;3 093,49;2 033,00;42,08;43,89;44,65;53,46;41 623,68;26 616,56;1 565,97;5 289,08
99000000000;05.01.2019;56,12;100,54;71,98;29,06;54,34;31,49;25,29;156,97;27,23;50,04;29,61;97,8;49,41;319,72;206,21;0;384,66;194,35;302,42;0;198;365,15;218,25;569,8;65,03;424,42;5,87;140,41;81,6;17,24;30,48;63,03;5 456,03;4 667,37;5 527,76;2 783,99;444,58;5 990,83;1 290,49;879,98;2 238,07;1 741,62;1 484,57;1 499,55;1 686,75;746,86;4 711,00;2 881,85;708,41;854,6;0;127,66;2 809,01;580,63;0;267,12;346,77;423,26;283,58;7 004,11;747,19;35 539,00;38,41;1 429,43;410,08;3 445,21;2 078,00;42,39;44,27;45,25;53,49;40 964,10;24 650,02;1 475,59;2 554,10
99000000000;06.01.2019;61,66;101,55;72,06;29,75;54,24;31,3;26,63;148,31;27,33;52,97;28,99;110,6;48,46;336,99;194,65;0;385,25;191,9;330,96;0;189,41;362,38;219,38;567,33;64,24;419,14;5,75;132,98;80,73;16,93;30,1;72,9;5 542,35;4 735,41;5 654,00;2 418,82;552,29;5 908,36;1 851,95;943,66;2 230,91;2 357,17;1 882,61;1 665,54;1 479,49;743,21;3 989,90;2 983,38;726,76;975,58;0;126,85;3 259,93;358,51;0;302,23;324,72;358,21;313,56;6 749,19;873,51;41 283,00;38,75;1 612,76;473,11;3 930,68;2 320,79;42,72;44,56;45,08;53,32;38 195,76;25 348,70;1 271,99;1 019,58
99000000000;07.01.2019;59,53;103,42;72,33;29,77;60,9;31,85;25,92;148,02;26,65;50,78;30,03;109,9;49,32;324,12;212,15;0;0;191,09;321,46;0;200,31;357,07;201,46;560,5;64,19;411,32;5,84;144,04;80,4;16,92;31,27;73,34;5 535,90;4 731,00;5 646,25;2 129,84;348,72;5 503,98;1 408,37;736,16;1 669,43;1 525,28;1 552,07;1 391,71;1 461,89;630,89;3 848,30;2 414,19;687,51;839,42;0;0;2 260,19;343,86;0;246,07;402,44;446,63;246,04;6 650,07;817,83;29 452,00;28,92;1 431,07;352,82;2 788,66;1 963,00;42,63;44,49;44,96;53,39;35 367,74;21 989,23;1 278,86;713,59
99000000000;08.01.2019;60,54;96,62;71,65;29,64;55,9;30,03;26,74;155,42;27,2;56,28;30,72;112,9;49,37;280,68;192,66;0;0;180,59;300,44;0;180,75;365,08;210,45;587,1;63,96;429,5;5,83;139,48;79,8;16,76;32,52;64,48;5 464,82;4 659,93;5 616,14;2 556,55;438,68;5 883,42;1 416,27;857,69;2 447,42;1 815,53;1 011,77;1 520,81;1 171,01;711,42;3 359,90;2 984,28;687,06;931,24;0;0;2 374,03;449,41;0;211,65;360,08;320,66;264,05;7 175,33;665,1;31 089,00;34,3;1 506,63;399,57;3 028,34;2 132,00;42,74;44,54;45,28;53,12;40 794,43;26 106,32;1 153,55;3 438,81
99000000000;09.01.2019;55,25;87,73;71,67;29,25;49,84;29,92;26,31;144,11;27,57;57,86;34,8;111,2;50,1;272,32;192,83;0;0;179,14;296,13;0;186,96;362,5;205,74;580,25;64,3;414,35;5,73;133,61;79,68;18,41;27,9;69,31;5 444,25;4 642,61;5 580,18;2 782,20;469,81;5 733,56;1 438,79;980,75;2 446,38;1 353,27;1 008,84;1 427,85;1 130,64;722,19;3 184,30;2 797,74;741,91;1 076,19;0;0;2 472,90;493,08;0;245,71;408,29;461,13;250,52;7 189,56;721,4;31 139,00;33,74;1 511,16;429,2;3 002,70;2 156,50;42,79;44,61;45,11;53,43;39 135,71;21 939,69;1 370,22;2 578,38
99000000000;10.01.2019;56,81;95,86;69,09;31,02;55,64;32,25;26,2;145,94;27,25;55,79;34,51;108,1;50,03;272,52;192,65;0;357,51;185,04;302,47;0;200,38;363,17;204,2;561,73;63,53;406,86;5,8;131,51;81,97;16,22;28,93;71,28;5 420,21;4 628,51;5 542,31;3 010,95;543,32;7 981,93;1 439,88;1 017,03;2 326,57;1 658,98;1 283,36;1 607,91;1 193,43;790,65;3 707,80;3 320,84;878,96;1 205,48;0;108,17;2 815,34;523,3;0;249,5;415,85;467,82;305,23;7 652,74;927,24;33 705,00;33,44;1 940,64;418,51;3 885,83;2 493,00;42,8;44,6;45,08;53,37;41 126,13;23 191,45;1 842,04;3 134,30
